  PID   TID   UID COMM                        CMDLINE                     CMD             LABEL                          STAT  WCHAN 
   49    49     0 [ksoftirqd/6]               [ksoftirqd/6]               ksoftirqd/6     u:r:kernel:s0                  S     smpboot_thread_fn
   50    50     0 [kworker/6:0-rcu_gp]        [kworker/6:0-rcu_gp]        kworker/6:0-rcu_gp u:r:kernel:s0               I     worker_thread
   51    51     0 [kworker/6:0H-kblockd]      [kworker/6:0H-kblockd]      kworker/6:0H-kblockd u:r:kernel:s0             I<    worker_thread
   52    52     0 [rcuop/6]                   [rcuop/6]                   rcuop/6         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
   53    53     0 [cpuhp/7]                   [cpuhp/7]                   cpuhp/7         u:r:kernel:s0                  S     smpboot_thread_fn
   54    54     0 [migration/7]               [migration/7]               migration/7     u:r:kernel:s0                  S     smpboot_thread_fn
   55    55     0 [ksoftirqd/7]               [ksoftirqd/7]               ksoftirqd/7     u:r:kernel:s0                  S     smpboot_thread_fn
   56    56     0 [kworker/7:0-events]        [kworker/7:0-events]        kworker/7:0-events u:r:kernel:s0               I     worker_thread
   57    57     0 [kworker/7:0H-kblockd]      [kworker/7:0H-kblockd]      kworker/7:0H-kblockd u:r:kernel:s0             I<    worker_thread
   58    58     0 [rcuop/7]                   [rcuop/7]                   rcuop/7         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
   59    59     0 [netns]                     [netns]                     netns           u:r:kernel:s0                  I<    rescuer_thread
   60    60     0 [rcu_tasks_kthre]           [rcu_tasks_kthre]           rcu_tasks_kthre u:r:kernel:s0                  S     rcu_tasks_kthread
   61    61     0 [rcu_tasks_trace]           [rcu_tasks_trace]           rcu_tasks_trace u:r:kernel:s0                  S     rcu_tasks_kthread
   62    62     0 [kworker/4:1-pm]            [kworker/4:1-pm]            kworker/4:1-pm  u:r:kernel:s0                  I     worker_thread
   63    63     0 [kworker/6:1-events]        [kworker/6:1-events]        kworker/6:1-events u:r:kernel:s0               I     worker_thread
   64    64     0 [kworker/1:1-events]        [kworker/1:1-events]        kworker/1:1-events u:r:kernel:s0               I     worker_thread
   65    65     0 [kworker/5:1-sock_diag_events] [kworker/5:1-sock_diag_events] kworker/5:1-sock_diag_events u:r:kernel:s0 I   worker_thread
   66    66     0 [kauditd]                   [kauditd]                   kauditd         u:r:kernel:s0                  S     kauditd_thread
   67    67     0 [qrtr_ns]                   [qrtr_ns]                   qrtr_ns         u:r:kernel:s0                  S     kthread_worker_fn
   68    68     0 [kworker/u16:1-kverityd]    [kworker/u16:1-kverityd]    kworker/u16:1-kverityd u:r:kernel:s0           I     worker_thread
   69    69     0 [kworker/u17:0-pil_workqueue] [kworker/u17:0-pil_workqueue] kworker/u17:0-pil_workqueue u:r:kernel:s0  I<    worker_thread
   70    70     0 [kworker/7:1-cgroup_offline] [kworker/7:1-cgroup_offline] kworker/7:1-cgroup_offline u:r:kernel:s0     I     worker_thread
   71    71     0 [kworker/2:1-events]        [kworker/2:1-events]        kworker/2:1-events u:r:kernel:s0               I     worker_thread
   72    72     0 [kworker/3:1-events]        [kworker/3:1-events]        kworker/3:1-events u:r:kernel:s0               I     worker_thread
   73    73     0 [qmp_aop]                   [qmp_aop]                   qmp_aop         u:r:kernel:s0                  S     kthread_worker_fn
   74    74     0 [hh-watchdog]               [hh-watchdog]               hh-watchdog     u:r:kernel:s0                  S     qcom_wdt_kthread
   75    75     0 [oom_reaper]                [oom_reaper]                oom_reaper      u:r:kernel:s0                  S     oom_reaper
   76    76     0 [writeback]                 [writeback]                 writeback       u:r:kernel:s0                  I<    rescuer_thread
   77    77     0 [kcompactd0]                [kcompactd0]                kcompactd0      u:r:kernel:s0                  S     kcompactd
   94    94     0 [cryptd]                    [cryptd]                    cryptd          u:r:kernel:s0                  I<    rescuer_thread
  126   126     0 [kblockd]                   [kblockd]                   kblockd         u:r:kernel:s0                  I<    rescuer_thread
  127   127     0 [blk_crypto_wq]             [blk_crypto_wq]             blk_crypto_wq   u:r:kernel:s0                  I<    rescuer_thread
  128   128     0 [blkcg_punt_bio]            [blkcg_punt_bio]            blkcg_punt_bio  u:r:kernel:s0                  I<    rescuer_thread
  129   129     0 [irq/41-arm-smmu]           [irq/41-arm-smmu]           irq/41-arm-smmu u:r:kernel:s0                  S     irq_thread
  130   130     0 [irq/42-arm-smmu]           [irq/42-arm-smmu]           irq/42-arm-smmu u:r:kernel:s0                  S     irq_thread
  131   131     0 [governor_msm_ad]           [governor_msm_ad]           governor_msm_ad u:r:kernel:s0                  I<    rescuer_thread
  132   132     0 [irq/26-tsens-up]           [irq/26-tsens-up]           irq/26-tsens-up u:r:kernel:s0                  S     irq_thread
  133   133     0 [irq/27-tsens-cr]           [irq/27-tsens-cr]           irq/27-tsens-cr u:r:kernel:s0                  S     irq_thread
  134   134     0 [irq/29-tsens-up]           [irq/29-tsens-up]           irq/29-tsens-up u:r:kernel:s0                  S     irq_thread
  135   135     0 [irq/30-tsens-cr]           [irq/30-tsens-cr]           irq/30-tsens-cr u:r:kernel:s0                  S     irq_thread
  136   136     0 [edac-poller]               [edac-poller]               edac-poller     u:r:kernel:s0                  I<    rescuer_thread
  137   137     0 [irq/15-dcvsh-ir]           [irq/15-dcvsh-ir]           irq/15-dcvsh-ir u:r:kernel:s0                  S     irq_thread
  138   138     0 [irq/16-dcvsh-ir]           [irq/16-dcvsh-ir]           irq/16-dcvsh-ir u:r:kernel:s0                  S     irq_thread
  139   139     0 [irq/17-dcvsh-ir]           [irq/17-dcvsh-ir]           irq/17-dcvsh-ir u:r:kernel:s0                  S     irq_thread
  140   140     0 [core_ctl/0]                [core_ctl/0]                core_ctl/0      u:r:kernel:s0                  S     try_core_ctl
  141   141     0 [kworker/4:2-rcu_gp]        [kworker/4:2-rcu_gp]        kworker/4:2-rcu_gp u:r:kernel:s0               I     worker_thread
  142   142     0 [core_ctl/4]                [core_ctl/4]                core_ctl/4      u:r:kernel:s0                  S     try_core_ctl
  143   143     0 [core_ctl/7]                [core_ctl/7]                core_ctl/7      u:r:kernel:s0                  S     try_core_ctl
  144   144     0 [kworker/4:3-events]        [kworker/4:3-events]        kworker/4:3-events u:r:kernel:s0               I     worker_thread
  145   145     0 [ion_system_heap]           [ion_system_heap]           ion_system_heap u:r:kernel:s0                  S     ion_heap_deferred_free
  146   146     0 [devfreq_wq]                [devfreq_wq]                devfreq_wq      u:r:kernel:s0                  I<    rescuer_thread
  147   147     0 [ipa_usb_wq]                [ipa_usb_wq]                ipa_usb_wq      u:r:kernel:s0                  I<    rescuer_thread
  148   148     0 [mpcie_wq]                  [mpcie_wq]                  mpcie_wq        u:r:kernel:s0                  I<    rescuer_thread
  149   149     0 [watchdogd]                 [watchdogd]                 watchdogd       u:r:kernel:s0                  S     kthread_worker_fn
  150   150     0 [ion-pool-uncach]           [ion-pool-uncach]           ion-pool-uncach u:r:kernel:s0                  SN    ion_msm_sys_heap_worker
  151   151     0 [ion-pool-cached]           [ion-pool-cached]           ion-pool-cached u:r:kernel:s0                  SN    ion_msm_sys_heap_worker
  152   152     0 [system]                    [system]                    system          u:r:kernel:s0                  S     ion_heap_deferred_free
  153   153     0 [cfg80211]                  [cfg80211]                  cfg80211        u:r:kernel:s0                  I<    rescuer_thread
  183   183     0 [kswapd0:0]                 [kswapd0:0]                 kswapd0:0       u:r:kernel:s0                  S     kswapd
  184   184     0 [erofs_worker/0]            [erofs_worker/0]            erofs_worker/0  u:r:kernel:s0                  S     kthread_worker_fn
  185   185     0 [erofs_worker/1]            [erofs_worker/1]            erofs_worker/1  u:r:kernel:s0                  S     kthread_worker_fn
  186   186     0 [erofs_worker/2]            [erofs_worker/2]            erofs_worker/2  u:r:kernel:s0                  S     kthread_worker_fn
  187   187     0 [erofs_worker/3]            [erofs_worker/3]            erofs_worker/3  u:r:kernel:s0                  S     kthread_worker_fn
  188   188     0 [erofs_worker/4]            [erofs_worker/4]            erofs_worker/4  u:r:kernel:s0                  S     kthread_worker_fn
  189   189     0 [erofs_worker/5]            [erofs_worker/5]            erofs_worker/5  u:r:kernel:s0                  S     kthread_worker_fn
  190   190     0 [erofs_worker/6]            [erofs_worker/6]            erofs_worker/6  u:r:kernel:s0                  S     kthread_worker_fn
  191   191     0 [erofs_worker/7]            [erofs_worker/7]            erofs_worker/7  u:r:kernel:s0                  S     kthread_worker_fn
  193   193     0 [mem_share_svc]             [mem_share_svc]             mem_share_svc   u:r:kernel:s0                  I<    rescuer_thread
  194   194     0 [irq/298-smp2p]             [irq/298-smp2p]             irq/298-smp2p   u:r:kernel:s0                  S     irq_thread
  195   195     0 [irq/299-smp2p]             [irq/299-smp2p]             irq/299-smp2p   u:r:kernel:s0                  S     irq_thread
  196   196     0 [irq/300-smp2p]             [irq/300-smp2p]             irq/300-smp2p   u:r:kernel:s0                  S     irq_thread
  197   197     0 [irq/301-smp2p]             [irq/301-smp2p]             irq/301-smp2p   u:r:kernel:s0                  S     irq_thread
  199   199     0 [pmic_glink_rx]             [pmic_glink_rx]             pmic_glink_rx   u:r:kernel:s0                  I<    rescuer_thread
  200   200     0 [pmic_glink_rx]             [pmic_glink_rx]             pmic_glink_rx   u:r:kernel:s0                  I<    rescuer_thread
  201   201     0 [kworker/u17:1-thermal_passive_wq] [kworker/u17:1-thermal_passive_wq] kworker/u17:1-thermal_passive_wq u:r:kernel:s0 I< worker_thread
  202   202     0 [cdsprm-wq]                 [cdsprm-wq]                 cdsprm-wq       u:r:kernel:s0                  S     process_cdsp_request_thread
  203   203     0 [cdsprm-wq-delay]           [cdsprm-wq-delay]           cdsprm-wq-delay u:r:kernel:s0                  I<    rescuer_thread
  204   204     0 [hyp_core_ctl]              [hyp_core_ctl]              hyp_core_ctl    u:r:kernel:s0                  S     hyp_core_ctl_thread
  205   205     0 [fb_flush]                  [fb_flush]                  fb_flush        u:r:kernel:s0                  D     kthread
  206   206     0 [mm_kevent]                 [mm_kevent]                 mm_kevent       u:r:kernel:s0                  I<    rescuer_thread
  207   207     0 [kworker/7:2-events_power_efficient] [kworker/7:2-events_power_efficient] kworker/7:2-events_power_efficient u:r:kernel:s0 I worker_thread
  209   209     0 [kworker/7:3-events]        [kworker/7:3-events]        kworker/7:3-events u:r:kernel:s0               I     worker_thread
  210   210     0 [kgsl-workqueue]            [kgsl-workqueue]            kgsl-workqueue  u:r:kernel:s0                  I<    rescuer_thread
  211   211     0 [kworker/7:4-events]        [kworker/7:4-events]        kworker/7:4-events u:r:kernel:s0               I     worker_thread
  212   212     0 [kgsl-mementry]             [kgsl-mementry]             kgsl-mementry   u:r:kernel:s0                  I<    rescuer_thread
  213   213     0 [kgsl_worker_thr]           [kgsl_worker_thr]           kgsl_worker_thr u:r:kernel:s0                  S     kthread_worker_fn
  214   214     0 [qseecom-unreg-l]           [qseecom-unreg-l]           qseecom-unreg-l u:r:kernel:s0                  S     __qseecom_unregister_listener_kthread_func
  215   215     0 [qseecom-unload-]           [qseecom-unload-]           qseecom-unload- u:r:kernel:s0                  S     __qseecom_unload_app_kthread_func
  216   216     0 [uas]                       [uas]                       uas             u:r:kernel:s0                  I<    rescuer_thread
  217   217     0 [k_ipa_usb]                 [k_ipa_usb]                 k_ipa_usb       u:r:kernel:s0                  I<    rescuer_thread
  218   218     0 [irq/293-fifo-em]           [irq/293-fifo-em]           irq/293-fifo-em u:r:kernel:s0                  S     irq_thread
  219   219     0 [irq/282-qcom,te]           [irq/282-qcom,te]           irq/282-qcom,te u:r:kernel:s0                  S     irq_thread
  220   220     0 [kworker/0:1H-kblockd]      [kworker/0:1H-kblockd]      kworker/0:1H-kblockd u:r:kernel:s0             I<    worker_thread
  221   221     0 [kworker/1:1H-events_highpri] [kworker/1:1H-events_highpri] kworker/1:1H-events_highpri u:r:kernel:s0  I<    worker_thread
  222   222     0 [kworker/2:1H-kblockd]      [kworker/2:1H-kblockd]      kworker/2:1H-kblockd u:r:kernel:s0             I<    worker_thread
  223   223     0 [kworker/3:1H-events_highpri] [kworker/3:1H-events_highpri] kworker/3:1H-events_highpri u:r:kernel:s0  I<    worker_thread
  224   224     0 [kworker/4:1H-fsverity_read_queue] [kworker/4:1H-fsverity_read_queue] kworker/4:1H-fsverity_read_queue u:r:kernel:s0 I< worker_thread
  225   225     0 [kworker/5:1H-fsverity_read_queue] [kworker/5:1H-fsverity_read_queue] kworker/5:1H-fsverity_read_queue u:r:kernel:s0 I< worker_thread
  226   226     0 [kworker/6:1H-kblockd]      [kworker/6:1H-kblockd]      kworker/6:1H-kblockd u:r:kernel:s0             I<    worker_thread
  227   227     0 [kworker/7:1H-kblockd]      [kworker/7:1H-kblockd]      kworker/7:1H-kblockd u:r:kernel:s0             I<    worker_thread
  228   228     0 [irq/283-bcl-lvl]           [irq/283-bcl-lvl]           irq/283-bcl-lvl u:r:kernel:s0                  S     irq_thread
  229   229     0 [irq/284-bcl-lvl]           [irq/284-bcl-lvl]           irq/284-bcl-lvl u:r:kernel:s0                  S     irq_thread
  230   230     0 [irq/285-bcl-lvl]           [irq/285-bcl-lvl]           irq/285-bcl-lvl u:r:kernel:s0                  S     irq_thread
  231   231     0 [irq/290-bcl-lvl]           [irq/290-bcl-lvl]           irq/290-bcl-lvl u:r:kernel:s0                  S     irq_thread
  232   232     0 [irq/291-bcl-lvl]           [irq/291-bcl-lvl]           irq/291-bcl-lvl u:r:kernel:s0                  S     irq_thread
  233   233     0 [irq/292-bcl-lvl]           [irq/292-bcl-lvl]           irq/292-bcl-lvl u:r:kernel:s0                  S     irq_thread
  234   234     0 [irq/244-637000.]           [irq/244-637000.]           irq/244-637000. u:r:kernel:s0                  S     irq_thread
  235   235     0 [irq/245-635000.]           [irq/245-635000.]           irq/245-635000. u:r:kernel:s0                  S     irq_thread
  236   236     0 [dm_bufio_cache]            [dm_bufio_cache]            dm_bufio_cache  u:r:kernel:s0                  I<    rescuer_thread
  237   237     0 [irq/20-KRYO L3-]           [irq/20-KRYO L3-]           irq/20-KRYO L3- u:r:kernel:s0                  S     irq_thread
  238   238     0 [irq/288-flash_a]           [irq/288-flash_a]           irq/288-flash_a u:r:kernel:s0                  S     irq_thread
